Date,Open,High,Low,Close,Adj Close,Volume
2020-12-17,73.309998,75.980003,73.000000,75.769997,75.731644,8163300
2020-12-18,75.800003,76.550003,72.589996,72.870003,72.833122,7897600
2020-12-21,71.110001,73.639999,70.599998,72.010002,72.010002,4036000
2020-12-22,72.660004,73.290001,72.089996,72.820000,72.820000,2599900
2020-12-23,73.029999,73.980003,72.400002,72.620003,72.620003,2403300
2020-12-28,73.000000,75.500000,72.949997,75.500000,75.500000,3419400
2020-12-29,75.849998,76.239998,74.360001,75.150002,75.150002,3065100
2020-12-30,75.370003,76.650002,75.239998,75.739998,75.739998,6187700
2021-01-04,75.849998,76.389999,74.500000,74.620003,74.620003,3609900
2021-01-05,74.650002,79.199997,74.000000,79.199997,79.199997,8316800
2021-01-06,79.370003,83.470001,78.129997,81.300003,81.300003,10753700
2021-01-07,82.379997,85.010002,81.839996,84.660004,84.660004,7564800
2021-01-08,84.949997,89.989998,84.849998,89.779999,89.779999,8690500
2021-01-11,88.970001,90.440002,86.269997,87.029999,87.029999,7745400
2021-01-12,87.430000,90.839996,86.589996,90.070000,90.070000,6345300
2021-01-13,90.199997,91.910004,88.809998,90.279999,90.279999,6891400
2021-01-14,91.160004,91.430000,89.599998,89.870003,89.870003,4238500
2021-01-15,89.250000,90.930000,86.879997,87.720001,87.720001,4540600
2021-01-18,86.849998,92.309998,86.800003,92.209999,92.209999,7398700
2021-01-19,92.919998,93.860001,89.050003,89.599998,89.599998,6894300
2021-01-20,90.550003,91.419998,88.410004,88.699997,88.699997,3508200
2021-01-21,89.000000,89.410004,86.510002,87.650002,87.650002,4225300
2021-01-22,86.570000,88.500000,86.000000,88.260002,88.260002,3559700
2021-01-26,88.980003,91.199997,88.449997,88.949997,88.949997,5164300
2021-01-27,88.980003,90.980003,87.900002,88.690002,88.690002,6063100
2021-01-28,88.500000,89.150002,86.760002,87.970001,87.970001,5030800
2021-01-29,87.489998,88.349998,85.599998,86.089996,86.089996,2893800
